Months before Unsubscribed Group,Months before Unsubscribed,Status,Join Field,first_name,last_name,Unsubscried Date,email,Intrested in Liquid Soap,Intrested in Soap Bars,Sign-up Date,Liquid Sales to Date,Bar Sales to Date
,,Resubscribed,esooley,Efren,Sooley,04/28/2018,esooleyd@pcworld.com,1,0,12/03/2018,6248,4716
,,Resubscribed,mizkovici,Marlon,Izkovici,07/17/2018,mizkovicir@cyberchimps.com,1,0,12/26/2018,4735,4687
,,Resubscribed,etyres,Ellswerth,Tyres,08/08/2018,etyres3p@archive.org,1,0,10/14/2018,2225,4701
,,Resubscribed,fcatonne,Forest,Catonne,05/20/2018,fcatonne40@studiopress.com,0,1,09/20/2018,7244,2690
,,Resubscribed,cguiduzzi,Colleen,Guiduzzi,05/24/2018,cguiduzzi5i@plala.or.jp,1,1,06/19/2018,8056,3454
,,Resubscribed,bmatisoff,Bard,Matisoff,10/04/2018,bmatisoff5j@flickr.com,1,0,12/20/2018,4873,1186
,,Subscribed,pvenart,,,,pvenart0@posterous.com,1,0,08/16/2018,159,1723
,,Subscribed,erosedale,,,,erosedale2@google.com.hk,0,1,01/13/2016,2019,3452
,,Subscribed,obowman,,,,obowman3@hubpages.com,1,0,11/11/2018,6943,422
,,Subscribed,fmacpadene,,,,fmacpadene4@behance.net,1,1,07/19/2017,8937,1569
,,Subscribed,gearsman,,,,gearsman5@tinyurl.com,0,1,07/21/2016,8873,600
,,Subscribed,cdestoop,,,,cdestoop7@istockphoto.com,0,1,01/31/2016,1624,1716
,,Subscribed,tdunsmore,,,,tdunsmorea@sbwire.com,1,0,07/16/2017,845,781
,,Subscribed,kdenormanville,,,,kdenormanvillef@amazon.de,1,1,02/27/2017,9449,378
,,Subscribed,etiery,,,,etieryg@sina.com.cn,1,0,06/24/2018,3328,1690
,,Subscribed,kgalbreath,,,,kgalbreathh@oracle.com,0,1,12/19/2017,4139,3565
,,Subscribed,ibeagley,,,,ibeagleyj@hhs.gov,0,1,05/21/2016,4266,1421
,,Subscribed,lmottinelli,,,,lmottinellil@dailymail.co.uk,0,1,05/03/2018,2059,981
,,Subscribed,mallender,,,,mallenderm@apache.org,1,0,03/08/2018,8690,435
,,Subscribed,ciianon,,,,ciianono@yelp.com,0,1,10/31/2016,1791,679
,,Subscribed,cpatching,,,,cpatchings@w3.org,1,0,04/05/2016,3147,4040
,,Subscribed,mjesson,,,,mjessonu@disqus.com,0,1,11/12/2017,3412,2125
,,Subscribed,mbelsher,,,,mbelsher10@flavors.me,1,1,05/17/2018,1710,4173
,,Subscribed,smccaw,,,,smccaw11@biblegateway.com,1,0,10/04/2018,819,724
,,Subscribed,jholworth,,,,jholworth13@com.com,1,0,07/21/2018,8308,2083
,,Subscribed,rmcnerlin,,,,rmcnerlin14@bluehost.com,1,1,03/02/2017,704,2278
,,Subscribed,bfantin,,,,bfantin18@umich.edu,1,1,04/05/2018,3036,2046
,,Subscribed,ofuzzens,,,,ofuzzens1a@is.gd,0,1,08/20/2016,4167,1578
,,Subscribed,clowdyane,,,,clowdyane1b@live.com,0,0,11/06/2018,6761,201
,,Subscribed,gjob,,,,gjob1c@adobe.com,1,0,09/08/2016,9411,478
,,Subscribed,carnaudot,,,,carnaudot1f@engadget.com,0,1,01/25/2016,1266,4520
,,Subscribed,crodliff,,,,crodliff1g@google.ca,1,0,12/09/2016,7055,3812
,,Subscribed,eorum,,,,eorum1i@chronoengine.com,1,1,02/23/2016,9683,891
,,Subscribed,mbackshall,,,,mbackshall1k@state.tx.us,0,1,11/26/2017,6082,4514
,,Subscribed,bjuares,,,,bjuares1n@harvard.edu,0,1,11/02/2018,2649,2835
,,Subscribed,dcharlwood,,,,dcharlwood1p@engadget.com,1,0,12/26/2016,6609,4306
,,Subscribed,ptortice,,,,ptortice1t@yellowpages.com,1,0,09/18/2018,7594,250
,,Subscribed,jbrokenshaw,,,,jbrokenshaw1u@aol.com,1,1,01/27/2016,1188,274
,,Subscribed,whollingdale,,,,whollingdale1w@europa.eu,0,1,05/14/2018,6061,1165
,,Subscribed,vbrewin,,,,vbrewin1z@amazon.co.uk,0,1,10/06/2018,5262,2796
,,Subscribed,croffe,,,,croffe20@nhs.uk,1,0,03/25/2017,5143,4052
,,Subscribed,mhanhart,,,,mhanhart21@cam.ac.uk,1,1,06/10/2017,8324,2187
,,Subscribed,kmanzell,,,,kmanzell24@hugedomains.com,1,1,05/25/2016,3658,1705
,,Subscribed,glytlle,,,,glytlle26@chronoengine.com,0,1,05/15/2018,3844,2924
,,Subscribed,aallso,,,,aallso29@unblog.fr,0,1,03/01/2016,277,1814
,,Subscribed,vcrampton,,,,vcrampton2a@moonfruit.com,1,0,11/25/2017,9829,4463
,,Subscribed,erushforth,,,,erushforth2b@diigo.com,1,0,03/18/2017,3806,4467
,,Subscribed,tbagott,,,,tbagott2e@ow.ly,1,0,04/20/2018,4352,4903
,,Subscribed,rflaherty,,,,rflaherty2f@webeden.co.uk,1,0,01/14/2018,5091,4754
,,Subscribed,eevreux,,,,eevreux2g@google.nl,1,0,06/22/2016,5650,326
,,Subscribed,dsaladine,,,,dsaladine2i@comsenz.com,0,1,07/29/2018,4430,4946
,,Subscribed,bvosper,,,,bvosper2k@squarespace.com,1,0,06/14/2018,4303,3185
,,Subscribed,nsarney,,,,nsarney2l@japanpost.jp,0,1,11/24/2017,8591,4149
,,Subscribed,dfairleigh,,,,dfairleigh2m@hugedomains.com,0,1,03/08/2018,1882,2733
,,Subscribed,rdeantoni,,,,rdeantoni2r@nature.com,1,1,06/27/2018,1670,3563
,,Subscribed,fnardrup,,,,fnardrup2s@pen.io,1,1,10/29/2017,4249,4641
,,Subscribed,cleghorn,,,,cleghorn2t@seattletimes.com,0,1,01/10/2016,4784,3820
,,Subscribed,rbelsher,,,,rbelsher30@comsenz.com,1,1,03/03/2018,7692,4400
,,Subscribed,xrioch,,,,xrioch31@webs.com,0,1,05/01/2018,861,1184
,,Subscribed,lgosneye,,,,lgosneye32@ca.gov,1,1,08/07/2017,7540,664
,,Subscribed,rmurrum,,,,rmurrum3b@google.es,0,1,11/01/2018,3065,179
,,Subscribed,cpervew,,,,cpervew3e@utexas.edu,1,0,11/01/2017,4548,2461
,,Subscribed,imattiessen,,,,imattiessen3f@engadget.com,1,1,10/11/2016,4342,4827
,,Subscribed,ahearthfield,,,,ahearthfield3g@disqus.com,0,1,01/24/2017,6772,185
,,Subscribed,mconeybeer,,,,mconeybeer3i@gmpg.org,1,1,01/14/2016,1715,4576
,,Subscribed,htottie,,,,htottie3j@google.cn,1,0,01/29/2017,9599,4190
,,Subscribed,fabdee,,,,fabdee3l@google.com,1,1,07/17/2016,3271,2133
,,Subscribed,covell,,,,covell3m@addtoany.com,1,0,01/19/2017,4448,135
,,Subscribed,dduckerin,,,,dduckerin3v@slate.com,0,1,07/03/2017,9417,1427
,,Subscribed,amead,,,,amead3w@smugmug.com,1,1,02/04/2017,5944,4325
,,Subscribed,dmcamish,,,,dmcamish3y@yellowpages.com,1,1,06/02/2017,8700,1989
,,Subscribed,efanthom,,,,efanthom41@goodreads.com,1,1,11/09/2018,6366,8
,,Subscribed,bwelbelove,,,,bwelbelove45@cam.ac.uk,0,1,07/01/2016,4251,923
,,Subscribed,vdelouch,,,,vdelouch46@latimes.com,1,0,07/01/2017,5990,1996
,,Subscribed,ghapke,,,,ghapke49@si.edu,1,0,01/06/2017,593,2337
,,Subscribed,fcowdroy,,,,fcowdroy4c@odnoklassniki.ru,1,1,05/15/2018,4999,3237
,,Subscribed,mshoebridge,,,,mshoebridge4d@dropbox.com,0,1,02/03/2018,4276,3026
,,Subscribed,vlowe,,,,vlowe4f@miitbeian.gov.cn,0,1,07/11/2018,670,1088
,,Subscribed,erodenhurst,,,,erodenhurst4h@csmonitor.com,1,0,07/13/2017,2025,4014
,,Subscribed,hsouthwood,,,,hsouthwood4i@indiatimes.com,1,1,01/18/2016,6667,4879
,,Subscribed,djenno,,,,djenno4j@paypal.com,0,1,12/04/2017,9069,3822
,,Subscribed,ghallmark,,,,ghallmark4k@ft.com,1,1,02/24/2016,6368,1905
,,Subscribed,tbachnic,,,,tbachnic4l@tmall.com,1,0,11/28/2018,9959,2100
,,Subscribed,bmarte,,,,bmarte4o@multiply.com,1,1,03/16/2017,760,2624
,,Subscribed,scapini,,,,scapini4q@boston.com,0,1,03/18/2018,6823,2111
,,Subscribed,tratcliffe,,,,tratcliffe4u@wisc.edu,1,0,02/10/2017,3592,4288
,,Subscribed,cvernon,,,,cvernon4y@simplemachines.org,0,1,04/16/2016,3155,3264
,,Subscribed,slurriman,,,,slurriman4z@t.co,1,0,12/15/2018,1378,1532
,,Subscribed,mdiver,,,,mdiver51@toplist.cz,1,1,01/16/2016,7397,2785
,,Subscribed,tleetham,,,,tleetham53@flickr.com,1,0,03/29/2017,6119,2991
,,Subscribed,kweavill,,,,kweavill54@addtoany.com,0,1,04/17/2018,2432,4236
,,Subscribed,aspeariett,,,,aspeariett55@whitehouse.gov,1,0,06/06/2017,1863,2037
,,Subscribed,jbirkin,,,,jbirkin56@jigsy.com,1,0,02/03/2017,7771,4267
,,Subscribed,krolston,,,,krolston57@timesonline.co.uk,0,1,04/14/2018,7196,4989
,,Subscribed,mpates,,,,mpates59@nifty.com,0,1,05/18/2016,8537,2549
,,Subscribed,cchapman,,,,cchapman5a@csmonitor.com,0,1,03/22/2018,418,592
,,Subscribed,rspillett,,,,rspillett5b@posterous.com,1,0,04/18/2017,2617,17
,,Subscribed,wschoenrock,,,,wschoenrock5e@webmd.com,1,1,08/27/2018,9665,612
,,Subscribed,ggotthardsf,,,,ggotthardsf5f@webs.com,1,1,08/08/2016,7939,1460
,,Subscribed,ressberger,,,,ressberger5g@dedecms.com,1,0,07/26/2018,720,3097
